# Constructed from biom file
#OTU ID	Adobera_pasteurizada	Adobera_artesanal	Zacatecas	Chihuahua	Chiapas	Ranchero_Estado_de_Mexico
Bacteria;Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae	1.0	1.0	1.0	0.36363636363636365	1.0	1.0
Bacteria;Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae	0.0	0.0	0.0	0.6363636363636364	0.0	0.0
